"ensembl_gene_id","logFC","P.Value","adj.P.Val","comparison"
"ENSMUSG00000000168",-0.191031741714013,0.00117079841231924,0.0275544588909999,"4h_vs_0h"
"ENSMUSG00000022193",0.301639417858294,0.00119174868263356,0.0278983295333527,"4h_vs_0h"
"ENSMUSG00000021773",-0.288212724402545,0.00120686028869747,0.0280144973576602,"4h_vs_0h"
"ENSMUSG00000047126",0.182858473834571,0.00120944205815847,0.0280144973576602,"4h_vs_0h"
"ENSMUSG00000024132",-0.257844914451251,0.00122920028931007,0.0283230914830033,"4h_vs_0h"
"ENSMUSG00000018379",-0.312182412769502,0.00124761031676059,0.0285975677294966,"4h_vs_0h"
"ENSMUSG00000054766",0.403951892826353,0.00125521862729184,0.0286228869363283,"4h_vs_0h"
"ENSMUSG00000020321",0.422521050290921,0.00126762692312753,0.0287568355086818,"4h_vs_0h"
"ENSMUSG00000037916",-0.267553835322893,0.00129364165620211,0.029185641422976,"4h_vs_0h"
"ENSMUSG00000025651",-0.248064537195866,0.00129979225605619,0.029185641422976,"4h_vs_0h"
"ENSMUSG00000036751",-0.23561715574354,0.00132701837640956,0.02946879455416,"4h_vs_0h"
"ENSMUSG00000038845",-0.240969558576417,0.00133211852016891,0.02946879455416,"4h_vs_0h"
"ENSMUSG00000031320",0.181156488495049,0.00133249036952462,0.02946879455416,"4h_vs_0h"
"ENSMUSG00000029201",0.267828231509064,0.00133956109881846,0.0294770419795002,"4h_vs_0h"
"ENSMUSG00000020089",0.632572398979224,0.00136301053432038,0.0298438276693732,"4h_vs_0h"
"ENSMUSG00000024556",-0.205017890764548,0.00137305992207819,0.0299150332528024,"4h_vs_0h"
"ENSMUSG00000020914",-0.292888716465637,0.00140641804539252,0.0304117638192485,"4h_vs_0h"
"ENSMUSG00000014606",-0.347851243970496,0.00141747323825646,0.0304117638192485,"4h_vs_0h"
"ENSMUSG00000031256",-0.206594781064279,0.00142234521863894,0.0304117638192485,"4h_vs_0h"
"ENSMUSG00000047368",-2.31975744608472,0.00142349996518182,0.0304117638192485,"4h_vs_0h"
